gene	Estimate	Std. Error	z value	Pr(>|z|)	entrezgene_id	entrezgene_description	external_gene_name	gene_gff	description	gene_name	gene.y	FDR_tol	gene.z	logFC	logCPM	F	PValue	FDR_inf
LOC103813744	-0.9966225536446456	1.927210842063058	-0.5171320811882586	0.6050639600530466	103813744	NA	NA	ECHDC3	enoyl-CoA hydratase domain containing 3	ECHDC3	103813744	0.66888892846644	103813744	0.16928781714806643	-0.34241032743070104	1.322293394208577	0.2529338894752668	0.47290566648001575
LOC103813745	-0.7369109960370102	2.5033081451187296	-0.2943748645063667	0.7684714716572357	103813745	inter-alpha-trypsin inhibitor heavy chain 5	ITIH5	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5	ITIH5	103813745	0.8130435103561797	103813745	0.21527995660489074	1.0096157457859793	1.746538332061807	0.189301367220643	0.398310222064025
LOC103813748	-2.24436141699653	1.0619034908550373	-2.1135267341379445	0.03455570929313353	103813748	zinc finger C3HC-type containing 1	ZC3HC1	ZC3HC1	zinc finger C3HC-type containing 1	ZC3HC1	103813748	0.09001921286343591	103813748	0.09436579453878141	4.963793456651168	2.273418520869326	0.13470604804163325	0.328973329229444
LOC103813749	0.9891969223057938	2.03472927353499	0.48615652960417455	0.6268561895199792	103813749	aldehyde dehydrogenase 18 family member A1	ALDH18A1	ALDH18A1	aldehyde dehydrogenase 18 family member A1	ALDH18A1	103813749	0.6894284225463589	103813749	-0.02306124056677493	2.1067878366380968	0.05316107891077135	0.8181146409121413	0.9039181201574317
LOC103813752	11.124511362516522	4.521631233915435	2.4602871811117217	0.01388258798940581	103813752	POP1 homolog, ribonuclease P/MRP subunit	POP1	POP1	POP1 homolog, ribonuclease P/MRP subunit	POP1	103813752	0.04139432436316942	103813752	-0.15399353654808132	2.1592263521794908	2.253519694803207	0.136410014630066	0.3310647907721493
LOC103813754	0.8251547390375535	1.0686136951621776	0.7721730900260682	0.4400119173634545	103813754	NA	NA	PWWP2B	PWWP domain containing 2B	PWWP2B	103813754	0.511265882040897	103813754	-0.007561300450534912	4.454689088634234	0.008580192824154183	0.9263800669281914	0.9642834573633076
LOC103813757	-1.2657151686127146	0.6931583486901265	-1.8260115758607811	0.06784851818966191	103813757	glutaredoxin 3	GLRX3	GLRX3	glutaredoxin 3	GLRX3	103813757	0.14852030393828416	103813757	0.07596705847457572	8.02517633663832	0.7418529264597316	0.39109173788001117	0.6063032993213696
LOC103813760	-0.9026261339843296	2.8145784564569265	-0.3206967394757159	0.7484402184111868	103813760	protein tyrosine phosphatase receptor type E	PTPRE	PTPRE	protein tyrosine phosphatase receptor type E	PTPRE	103813760	0.7955160445214757	103813760	0.4922081917805482	1.6335861405784664	15.094779437182146	1.824479369491558e-4	0.009527448726617638
LOC103813765	-3.304738936153003	1.2059057639598436	-2.74046201197447	0.006135287384147394	103813765	erythroid differentiation regulatory factor 1	EDRF1	EDRF1	erythroid differentiation regulatory factor 1	EDRF1	103813765	0.023691170877466253	103813765	-0.08132552677677457	6.054217028016533	1.624626583429121	0.2053489981892046	0.4173741229863476
LOC103813766	1.2934728270955143	4.601842061607843	0.28107718817355204	0.7786511973444847	103813766	C-terminal binding protein 2	CTBP2	CTBP2	C-terminal binding protein 2	CTBP2	103813766	0.8219860918113626	103813766	-0.048857126901962575	-0.20864513424832573	0.08452248446939342	0.7718664280594798	0.8772415074290496
LOC103813767	-1.7593308142397626	1.4407540431857235	-1.221118082271432	0.2220413142413086	103813767	zinc finger RANBP2-type containing 1	ZRANB1	ZRANB1	zinc finger RANBP2-type containing 1	ZRANB1	103813767	0.28208568434123144	103813767	0.018907393880941273	6.319353278339258	0.09591677620024877	0.7574187347379027	0.8702769358063234
LOC103813770	1.8650947431543798	2.104415040805065	0.8862770446845263	0.3754682557168632	103813770	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	LHPP	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	LHPP	103813770	0.44628311280797445	103813770	0.14742073356621102	0.4206379632515103	1.6791722134725164	0.19802401982051515	0.40778002873983066
LOC103813771	0.010482612426293118	0.6570693066070966	0.015953587119176358	0.9872714190903907	103813771	ornithine aminotransferase	OAT	OAT	ornithine aminotransferase	OAT	103813771	0.9902572101546935	103813771	0.2746834505752849	3.5970823542401473	4.783195701376294	0.031028110297751946	0.13889477967151245
LOC103813772	1.4362068662847527	1.8010095873399408	0.7974454308186136	0.42519238319171604	103813772	serine/threonine kinase 3	STK3	STK3	serine/threonine kinase 3	STK3	103813772	0.49650639126953566	103813772	-0.0777271363639699	3.954301940293413	1.5433766938075215	0.21696999301942763	0.43156743280736887
LOC103813773	0.9380350571641266	2.2829561060835144	0.41088615530736433	0.6811560146712397	103813773	carbohydrate sulfotransferase 15	CHST15	CHST15	carbohydrate sulfotransferase 15	CHST15	103813773	0.7379508557665055	103813773	0.11148491692218152	1.02157248838633	0.5188691778288044	0.47298987378647817	0.6699170647234268
LOC103813776	-0.20582983415438985	0.9285865675966718	-0.2216592844834164	0.8245791279036143	103813776	BUB3 mitotic checkpoint protein	BUB3	BUB3	BUB3 mitotic checkpoint protein	BUB3	103813776	0.8598815691287325	103813776	-0.024026732541012733	4.052407498238387	0.11248049970005816	0.7380277162310047	0.8585721932453775
LOC103813777	-0.37985825953868807	0.659762438553826	-0.575750053869879	0.5647841375443344	103813777	acyl-CoA dehydrogenase short/branched chain	ACADSB	ACADSB	acyl-CoA dehydrogenase short/branched chain	ACADSB	103813777	0.6314397429900122	103813777	0.2080026766280724	6.006958630061917	4.751336610225416	0.03158003522837283	0.14022152338586696
LOC103813778	-1.5493324936057016	0.7963715826188926	-1.945489426569785	0.05171610106849616	103813778	IKAROS family zinc finger 5	IKZF5	IKZF5	IKAROS family zinc finger 5	IKZF5	103813778	0.12367417789388223	103813778	0.1683189894331919	8.721035286638763	6.185802123269794	0.014502572218893707	0.0902400645364914
LOC103813780	3.078195779663572	1.5975437024754633	1.926830405261386	0.054000768926452315	103813780	pleckstrin homology domain containing A1	PLEKHA1	PLEKHA1	pleckstrin homology domain containing A1	PLEKHA1	103813780	0.12757671945108184	103813780	0.051216443736602404	3.954940890241815	0.8661654111595896	0.35422078050754335	0.5755912944264941
LOC103813783	1.7099682829872351	0.9643273680130575	1.7732238446270885	0.07619162241570876	103813783	NSE4 homolog A, SMC5-SMC6 complex component	NSMCE4A	NSMCE4A	NSE4 homolog A, SMC5-SMC6 complex component	NSMCE4A	103813783	0.1579754812587004	103813783	0.0028400305486148726	5.445841427242629	0.001445631530794245	0.9697450178992242	0.9863426056355696
LOC103813784	-1.6338026252886562	1.969289564647267	-0.8296406250348957	0.406742000597402	103813784	arginyltransferase 1	ATE1	ATE1	arginyltransferase 1	ATE1	103813784	0.47785053841473796	103813784	-0.042384172031268534	4.882886810862592	0.9443593430256083	0.33346228270602785	0.5543651718893507
LOC103813788	-1.0546428339220102	1.5797122512989612	-0.6676170505449974	0.5043780710323418	103813788	SEC23 interacting protein	SEC23IP	SEC23IP	SEC23 interacting protein	SEC23IP	103813788	0.5736715250199498	103813788	0.028878337553036332	6.46539849028155	0.5245739709207582	0.4705579662060899	0.6681849652840575
LOC103813789	-1.4866552415851144	0.919880286907573	-1.6161399072730531	0.10606406769381908	103813789	minichromosome maintenance complex binding protein	MCMBP	MCMBP	minichromosome maintenance complex binding protein	MCMBP	103813789	0.16163790848213966	103813789	0.1371578108665188	6.557052753782997	4.691325740310556	0.03264922632653452	0.1427047081008401
LOC103813790	1.6779703352800823	2.6597027988802284	0.6308864042954465	0.5281148020555817	103813790	NA	NA	INPP5F	inositol polyphosphate-5-phosphatase F	INPP5F	103813790	0.5968280528961829	103813790	0.16360572965565948	2.189760939714117	2.749579449275632	0.10036203764418833	0.2773000934790317
LOC103813791	-2.6620374094052783	2.009453292304544	-1.3247570469041943	0.1852517454180832	103813791	TIA1 cytotoxic granule associated RNA binding protein like 1	TIAL1	TIAL1	TIA1 cytotoxic granule associated RNA binding protein like 1	TIAL1	103813791	0.24155338584874883	103813791	-0.034453320010229355	6.717045584839184	0.8926971271298983	0.34698410871491225	0.5686701815586976
LOC103813792	3.6631938324721327	2.0572768369635592	1.7806032550674264	0.07497728764871871	103813792	NA	NA	SFXN4	sideroflexin 4	SFXN4	103813792	0.1568327873261152	103813792	-0.2853524483953461	1.50670344954054	7.111932909409355	0.008913527965250998	0.06968642135583768
LOC103813793	1.2007336504256279	1.2335861674330881	0.9733682835664236	0.33037029624090797	103813793	vacuolar protein sorting 13 homolog B	VPS13B	VPS13B	vacuolar protein sorting 13 homolog B	VPS13B	103813793	0.3991822443061004	103813793	-0.21374522450850733	8.03980405776378	9.885120781430246	0.002183643145854378	0.03425112390365491
LOC103813795	0.0670372473011685	1.0427943948200025	0.06428615998913176	0.9487423733880002	103813795	NA	NA	EIF3A	eukaryotic translation initiation factor 3 subunit A	EIF3A	103813795	0.9602867657742771	103813795	-0.07563864197131835	6.276420810973833	1.7941818712874105	0.1833996239201683	0.39155389191406814
LOC103813796	3.4685404805221625	1.5317158760253509	2.264480335297351	0.02354458788964122	103813796	NA	NA	CACUL1	CDK2 associated cullin domain 1	CACUL1	103813796	0.06522637519140059	103813796	-0.10320469634233732	7.885505127341608	3.4178226081558565	0.06739757655127131	0.21890704509824116
LOC103813798	-1.8442204432366447	0.7979389171633011	-2.3112300999090363	0.020820148620226766	103813798	family with sequence similarity 204 member A	FAM204A	FAM204A	family with sequence similarity 204 member A	FAM204A	103813798	0.05867382712183724	103813798	0.13167404203562824	6.021209918399768	2.9920093925233266	0.08670646717875992	0.25621286405401666
LOC103813799	-0.9505781659609674	2.1373297008136816	-0.44475036565443427	0.6565001671690938	103813799	RAB11 family interacting protein 2	RAB11FIP2	RAB11FIP2	RAB11 family interacting protein 2	RAB11FIP2	103813799	0.7161666413951149	103813799	0.24599245138889125	2.59566318354967	4.3915430366724255	0.03859961845904379	0.15780401666131672
LOC103813801	-1.817005197740403	1.5684485588943624	-1.1584729301044174	0.2466710923347903	103813801	PDZ domain containing 8	PDZD8	PDZD8	PDZ domain containing 8	PDZD8	103813801	0.3089241385222501	103813801	-8.225242342264663e-4	5.968179806151553	2.834014017540461e-4	0.9866015657974457	0.9952552531726909
LOC103813802	-1.9526681625646638	0.8803170332233111	-2.218141974846155	0.02654515360560924	103813802	solute carrier family 18 member A2	SLC18A2	SLC18A2	solute carrier family 18 member A2	SLC18A2	103813802	0.07222270247651424	103813802	0.14782577610283762	5.406995747423465	2.604864244690428	0.10963126719438539	0.2929764079724589
LOC103813811	-9.69486411397023	10.121334967778344	-0.9578641695817992	0.3381312561715437	103813811	actin binding LIM protein 1	ABLIM1	ABLIM1	actin binding LIM protein 1	ABLIM1	103813811	0.40736044856301706	103813811	1.1815504612576067	-0.5358352566569071	19.44378026242	2.3596992863820753e-5	0.003962116617165226
LOC103813812	3.8416836362074704	8.352817809501813	0.4599266647283188	0.6455688600225133	103813812	actin filament associated protein 1 like 2	AFAP1L2	AFAP1L2	actin filament associated protein 1 like 2	AFAP1L2	103813812	0.7060664726910912	103813812	-0.5141451751286331	-1.0356205616478042	3.3705147065905696	0.0689362743952679	0.22200368803480489
LOC103813813	1.9024292016150148	0.7212855105313816	2.6375536092683567	0.008350642521650816	103813813	cytochrome c oxidase subunit 6C-2	NA	LOC103813813	cytochrome c oxidase subunit 6C-2	LOC103813813	103813813	0.02802095008235901	103813813	-0.017161723688003897	2.7298515253386926	0.040747175644935456	0.8404297353551087	0.9164409173331161
LOC103813814	1.7456494157248805	1.1194797796717633	1.5593398357196886	0.11891596798925422	103813814	coiled-coil domain containing 186	CCDC186	CCDC186	coiled-coil domain containing 186	CCDC186	103813814	0.17212790874203032	103813814	-0.23675676440054866	6.780426623140843	11.238399945802062	0.0011256334606180968	0.026066647650421725
LOC103813815	-7.950113151237552	2.085937288614305	-3.8112905860745405	1.3824314179194879e-4	103813815	NHL repeat containing 2	NHLRC2	NHLRC2	NHL repeat containing 2	NHLRC2	103813815	0.023293306884048678	103813815	0.13511074261569542	5.3183153626976445	6.434259728420474	0.012712169258626019	0.08412203841734081
LOC103813816	-3.5914042627918628	4.839482984245054	-0.7421049468473567	0.45802375287328606	103813816	DNA cross-link repair 1A	DCLRE1A	DCLRE1A	DNA cross-link repair 1A	DCLRE1A	103813816	0.5289561359727577	103813816	0.15895903880372458	1.2579353338564443	3.759499858740503	0.0552927004846907	0.19434164902214243
LOC103813818	0.5873616278859526	0.9977889998529097	0.588663162224217	0.5560872541208736	103813818	caspase 7	CASP7	CASP7	caspase 7	CASP7	103813818	0.6234998259050936	103813818	0.22503566301874536	2.2208950228910944	1.887370223627491	0.1725200228694125	0.3791513341721923
LOC103813821	9.277014397938503	2.930532048050053	3.165641680701406	0.0015474128233312105	103813821	NA	NA	VTI1A	vesicle transport through interaction with t-SNAREs 1A	VTI1A	103813821	0.023293306884048678	103813821	-0.17526885667842043	2.233494424529882	7.444401465820681	0.007498529065110246	0.06413710518543356
LOC103813822	0.38037851908830544	1.6005430549577135	0.23765591179198556	0.8121479812743689	103813822	zinc finger DHHC-type palmitoyltransferase 6	ZDHHC6	ZDHHC6	zinc finger DHHC-type palmitoyltransferase 6	ZDHHC6	103813822	0.8495083407824986	103813822	-0.08691925573732007	6.890306826052237	3.509918774632364	0.06387021729975992	0.21193345999685606
LOC103813823	2.4444371585039506	3.5892967923164925	0.6810351163316137	0.4958492706600881	103813823	acyl-CoA synthetase long chain family member 5	ACSL5	ACSL5	acyl-CoA synthetase long chain family member 5	ACSL5	103813823	0.5654596746614801	103813823	0.10885728854907535	0.33498797686853365	0.4059804820829906	0.5254786008718488	0.710401765132585
LOC103813825	-9.012231078659957	8.48218255918434	-1.062489638224267	0.2880134595182591	103813825	glycerol-3-phosphate acyltransferase, mitochondrial	GPAM	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	GPAM	103813825	0.35439341664752355	103813825	0.2778151644174575	0.47464547676391017	6.759393060765963	0.010738179961569724	0.07771650935051191
LOC103813828	-2.6886605090541145	3.4442626953645266	-0.7806200475569584	0.43502599720677915	103813828	SHOC2 leucine rich repeat scaffold protein	SHOC2	SHOC2	SHOC2 leucine rich repeat scaffold protein	SHOC2	103813828	0.5062967387029416	103813828	0.10214593034966794	2.756279003533828	2.7152697751135126	0.10247673714135	0.2805819825117058
LOC103813829	0.021066317653413196	0.9035328632475725	0.0233154968793215	0.9813986103521378	103813829	programmed cell death 4	PDCD4	PDCD4	programmed cell death 4	PDCD4	103813829	0.9859026426478428	103813829	0.1256060200773984	4.496713862729448	3.4431987537711026	0.06640530755545905	0.21678473433345904
LOC103813831	-0.22874190114672993	1.3552996431271638	-0.1687758882743746	0.8659729245967104	103813831	structural maintenance of chromosomes 3	SMC3	SMC3	structural maintenance of chromosomes 3	SMC3	103813831	0.8935686676998237	103813831	-0.046845345074810696	5.025406146018174	0.8683357746000951	0.35362084769700075	0.575351864044142
LOC103813832	-3.766400540006061	3.5368294699568534	-1.0649087189527429	0.28691723906489547	103813832	dual specificity phosphatase 5	DUSP5	DUSP5	dual specificity phosphatase 5	DUSP5	103813832	0.3532828556010192	103813832	0.25800143330914643	0.06321955863224388	2.8468531682233755	0.09469661325390005	0.26900355810535925
LOC103813833	-0.07883813159656737	1.4235759381513446	-0.05538034851793473	0.9558354514186647	103813833	survival motor neuron domain containing 1	SMNDC1	SMNDC1	survival motor neuron domain containing 1	SMNDC1	103813833	0.965807084532403	103813833	-0.07369505834406168	8.243720338544762	2.2534478319987743	0.13641179806691914	0.3310647907721493
LOC103813834	-1.1786756293088743	1.6923779740046514	-0.6964612204918915	0.48614003496854385	103813834	MAX interactor 1, dimerization protein	MXI1	MXI1	MAX interactor 1, dimerization protein	MXI1	103813834	0.5563583795105321	103813834	-0.08265938293062906	10.874123621099946	2.9196327524474652	0.0905543895367797	0.2630584528625003
LOC103813835	-0.0441094330865564	0.5812313695131753	-0.0758896291566323	0.9395069077998713	103813835	adducin 3	ADD3	ADD3	adducin 3	ADD3	103813835	0.9535457687409438	103813835	0.22954753387612417	5.624116925871807	5.051715582634361	0.026758270185514327	0.12675041472022766
